#	Datafile	created	in	R																																																				
#cur_yr																																																								
2015																																																								
#styr...good	idea	perhaps	to	have	this	started	well	before	data	to	get	cohort	effects	involved...no	fancy	indexing	to	get	1st-year																																					
#	of	data	indexing	to	work																																																			
1961																																																								
#endyr																																																								
2017																																																								
#N_data_sets																																																								
1																																																								
#N_yrs_data_sets																																																								
55																																																								
																																																								
#yrs_data																																																								
#Fshry																																																								
1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015		
#Age_st																																																								
3																																																								
#Age_end																																																								
15																																																								
#fishery																																																								
0.1503	0.1951	0.2267	0.2936	0.4214	0.4971	0.5657	0.595	0.6891	0.8752	0.9752	0.8629	0.7349																																												
0.1456	0.2177	0.242	0.2895	0.3651	0.5064	0.544	0.6167	0.708	0.7736	0.7295	0.5885	1.0518																																												
0.1432	0.1875	0.2496	0.3229	0.3744	0.4964	0.6375	0.6745	0.7466	0.7284	0.847	1.0001	1.0143																																												
0.1476	0.1783	0.2032	0.2778	0.3598	0.4766	0.5982	0.7658	0.7882	0.8539	0.9488	1.0355	1.0523																																												
0.1388	0.1711	0.1954	0.2405	0.33	0.422	0.4999	0.6391	0.6665	0.8214	0.8485	0.8668	0.92																																												
0.1374	0.1712	0.1905	0.2396	0.2845	0.4124	0.5256	0.5526	0.6956	0.803	0.8349	0.8083	1.0262																																												
0.1477	0.1606	0.2077	0.236	0.2977	0.348	0.4851	0.5268	0.6523	0.4727	0.8807	0.8002	1.0427																																												
0.133	0.159	0.1785	0.2586	0.3059	0.3871	0.4374	0.5565	0.6703	0.5776	0.7745	0.7773	1																																												
0.1142	0.146	0.1652	0.1969	0.313	0.3589	0.4513	0.5138	0.6422	0.8026	0.4759	1.1357	1																																												
0.1123	0.1304	0.1614	0.1977	0.2532	0.397	0.4834	0.5499	0.6099	0.6987	0.5961	0.9044	1																																												
0.1143	0.1333	0.145	0.1789	0.256	0.3159	0.4154	0.5167	0.6015	0.6186	0.7056	0.9391	1																																												
0.1148	0.1325	0.1516	0.1672	0.2087	0.2975	0.379	0.6087	0.6134	0.6651	0.7424	0.9113	1																																												
0.1126	0.1218	0.1462	0.179	0.2035	0.2436	0.3861	0.4222	0.5149	0.6437	0.6905	0.5365	1																																												
0.1058	0.1391	0.1413	0.1824	0.2361	0.2682	0.3278	0.4104	0.4998	0.6331	0.7844	0.7971	1																																												
0.1146	0.1312	0.1672	0.1816	0.2395	0.2902	0.31	0.3728	0.4769	0.6072	0.6451	0.796	1																																												
0.0938	0.1485	0.1893	0.2411	0.2601	0.3147	0.3634	0.4024	0.5014	0.5828	0.6308	0.9011	1																																												
0.1429	0.1706	0.2166	0.2551	0.3172	0.3411	0.3972	0.4352	0.5083	0.4941	0.5305	0.9011	1																																												
0.1111	0.1693	0.2253	0.2918	0.3609	0.4204	0.4531	0.5087	0.5416	0.6087	0.6763	0.7916	1																																												
0.1029	0.1334	0.1626	0.2709	0.3785	0.4448	0.4799	0.5207	0.5562	0.6018	0.7143	0.6247	1																																												
0.1208	0.1466	0.1778	0.2069	0.3553	0.4292	0.5191	0.5742	0.5919	0.6417	0.7941	0.7154	0.6963																																												
0.1369	0.1724	0.2163	0.2868	0.3325	0.5903	0.5899	0.6877	0.6784	0.7467	0.7121	1.131	1																																												
0.0932	0.1555	0.2091	0.317	0.4208	0.5032	0.6715	0.7858	0.7428	0.7565	0.7629	0.987	0.8613																																												
